등급,이름,타입,직업,포격,충파,지원,백병,박물,심미,척후,보급,구매,판매,협상,교환,Lv 10 직업 효과,Lv 10 직업 효과,Lv 30 인물 효과,Lv 30 인물 효과,LV 50 직업 효과,LV 50 직업 효과,LV 70 인물 효과,LV 70 인물 효과,잠재 효과 1,잠재 효과 2,인연 연대기 추가 효과 1,인연 연대기 추가 효과 2,교전 기술 LV 1,교전 기술 LV 50,인연 연대기 추가 기술
S,아이셀,모험,수석 항해사,84,59,110,39,139,154,417,168,130,159,195,137,수리 회복량 증가,육분의 활용,시작 시 기동력 회복량 증폭,거래의 승부사,능숙한 돛 조종,무풍 해소,시작 시 상급 수리,심해 인양 전문가,탐험 물자 절약 심화,채집 우선 전투,,,백병 공격력 강화,추가 기동력 증가,
S,가은정,모험,통역가,59,105,86,38,187,390,164,119,190,126,168,133,충파 치명타 발생 증가,친절한 이방인,뛰어난 협상,굳건한 마음,낚시꾼,해적 사냥,천해 튼튼한 로프,천해 인양 보물 사냥꾼 LV2,꼼꼼한 탐험가,관측 후 채집,,,백병 공격력 강화,정화: 전투태세 LV2,
S,타츠마루,모험,예술학자,59,39,86,104,422,130,187,139,168,137,126,187,백병 방어력 증가,재력 추구,능숙한 돛 조종,백병 피해 무시,낚시꾼,명성 추구,섬유 구매 할인,심해 인양 보물 사냥꾼,성실한 탐험가,채집 우선 관찰,,,충파 위력 강화,추가 기동력 증가,
S,메레,전투,조타장,178,411,114,156,55,95,36,89,174,137,135,178,충파 방어력 증가,충파 치명타 추가 피해,총포류 구매 할인,방어 무시 충파,충파 공격력 증가,충파 공격력 증폭,심해 튼튼한 로프,혼란 충파 LV2,충파 시 추가 고정 피해 심화,대혼란 충파,,,충파: 혼란 유발,정밀 충파: 혼란 유발 LV2,
S,네일리,전투,유탄수,411,156,114,180,176,114,137,183,35,111,71,67,포격 치명타 발생 증가,포격 치명타 발생 증폭,귀금속 구매 할인,포격 시 추가 포격,포격 공격력 증가,포격 치명타 추가 피해,심해 튼튼한 로프,포격 시 추가 고정 피해,포격 시 추가 고정 피해 심화,포격 피해 무효,,,포격: 돛 손상 유발,정밀 포격: 혼란 유발,
S,말리날리,전투,백병대,156,178,114,417,117,133,157,200,89,89,53,46,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 구매 할인,백병 시 추가 고정 피해,백병 공격력 증가,백병 치명타 추가 피해,백병 치명타 저항 증폭,백병 시 추가 백병 LV2,백병 공격력 증폭 심화,극독 백병,,,강화 백병: 키 손상 유발,정밀 백병: 혼란 유발 LV2,
S,울로리악,모험,상담사,60,83,110,39,139,154,185,364,173,187,151,117,백병 회피 증가,싸움 해소,달콤한 화술,백병 치명타 저항 증폭,향수병 해소,심리 상담,백병 치명타 피해 저항,심해 인양 보물 사냥꾼,꼼꼼한 탐험가,생물 관찰,,,충파 위력 강화,행동 봉쇄,
S,연희,교역,투자가,105,38,86,60,180,130,158,190,183,133,137,364,포격 방어력 증가,무기류 거래 전문,섬유 구매 할인,매력적인 제안,화물 도난 해소,무기류 구매 할인,포격 치명타 저항 증폭,무기류 판매 할증 LV2,다정한 협상,무기류 판매 달인,,,포격 위력 강화,기술 봉쇄 LV2,
S,무영,모험,예술학자,59,39,86,104,417,130,185,139,168,137,126,187,백병 방어력 증가,재력 추구,향신료 구매 할인,해적 사냥,낚시꾼,명성 추구,백병 치명타 저항 증폭,천해 인양 전문가,성실한 탐험가,생물 채집,,,충파: 혼란 유발,추가 기동력 증가,
S,인두마티,모험,지리학자,38,105,86,59,422,173,140,133,147,168,126,179,방어력 증가,가면을 쓴 약탈자,달콤한 화술,충파 치명타 저항 증폭,채집의 달인,부지런한 탐험가,심해 튼튼한 로프,심해 인양 보물 사냥꾼 LV2,꼼꼼한 탐험가,관찰 채집,,,기술 봉쇄,행동 봉쇄 LV2,
S,아난드,전투,전문의,180,123,390,154,55,43,92,90,154,184,116,154,의술 회복량 증가,포격 방어력 증폭,포격 피해 무시,시작 시 상급 의술,의술 극대화 회복량 증가,포격 피해 반사,굳건한 마음,이동 전 기동력 소모 감소,시작 시 최상급 의술,시작 시 기동력 추가 회복,,,의술: 전 범위,포격 위력 강화,
S,치트랄리,전투,전문의,178,119,411,154,60,45,101,89,168,179,126,154,의술 회복량 증가,포격 방어력 증폭,백병 피해 무시,시작 시 상급 의술,의술 극대화 회복량 증가,포격 피해 반사,백병 치명타 저항 증폭,이동 전 기동력 소모 감소 LV2,시작 시 최상급 의술,시작 시 기동력 추가 회복,,,의술: 전 범위,백병 공격력 강화 LV2,
S,타마,전투,타격대,156,180,110,406,36,55,72,111,171,135,133,180,백병 공격력 증가,백병 공격력 증폭,조미료 구매 할인,백병 치명타 피해 저항,백병 명중 증가,백병 방어력 증폭,위생 관념,선원 긴급 치료,백병 치명타 피해 증폭,대혼란 백병,,,백병: 방어 무시,강화 백병: 키 손상 유발,
S,남혜,모험,수렵가,38,59,86,102,158,390,180,116,178,179,133,143,백병 회피 증가,탐험 물자 절약,천해 인양 기술자,포격 치명타 저항 증폭,낚시의 대가,호전적인 탐험가,충파 치명타 피해 저항,천해 인양 전문가 LV2,채집의 명인,관측 후 채집,,,백병: 키 손상 유발,의술: 전 범위 LV2,
S,벤자밍,전투,조타수,180,411,110,154,135,110,174,180,71,68,35,110,충파 공격력 증가,충파 공격력 증폭,섬유 구매 할인,방어 무시 충파,충파 방어력 증가,충파 방어력 증폭,굳건한 마음,충파 시 추가 고정 피해,충파 치명타 피해 증폭,대혼란 충파,,,충파: 키 손상 유발,정밀 충파: 혼란 유발,
S,가더,모험,수렵가,39,59,88,107,162,396,185,117,173,179,130,149,백병 회피 증가,탐험 물자 절약,천해 인양 기술자,맹수 사냥,낚시의 대가,호전적인 탐험가,포격 치명타 피해 저항,천해 인양 전문가 LV2,시작 시 기동력 추가 회복,투쟁적인 탐험가,,,공격력 증가,정밀 백병: 혼란 유발 LV2,
S,돌로리스,모험,탐험가,38,61,88,104,140,396,164,152,151,184,173,124,백병 치명타 발생 증가,진귀한 탐험,달콤한 화술,굳건한 마음,채집의 달인,숙련된 탐험가,시작 전 이동력 증폭,심해 인양 기술자,탐험 물자 절약 심화,백병 치명타 추가 저항,,,백병 공격력 강화,난전 백병: 중독 유발,
S,타마야,전투,조타수,178,411,112,154,135,112,174,178,71,68,35,110,충파 공격력 증가,충파 공격력 증폭,총포류 구매 할인,방어 무시 충파,충파 방어력 증가,충파 방어력 증폭,달콤한 화술,충파 피해 무시 LV2,충파 치명타 피해 증폭,극독 충파,,,정밀 충파: 혼란 유발,광역 충파: 싸움 유발 LV2,
S,나오미,교역,주류상,38,58,86,104,200,173,133,135,139,348,162,166,백병 방어력 증가,주류 거래 전문,주류 거래 우대,온화한 협상,욕구불만 해소,주류 구매 할인,기회 포착,주류 판매 할증,주류 판매 달인,향신료 구매 달인,,,백병: 키 손상 유발,행동 봉쇄,
S,자령,모험,항해장,60,38,110,85,185,154,417,121,130,133,195,171,포격 회피 증가,암초 해소,긴축 배급,신출귀몰,해초 해소,장애물 탐지,시작 전 이동력 증폭,능숙한 돛 조종 LV2,해적 척결,생물 관찰,,,충파: 혼란 윺발,기술 봉쇄 LV2,
S,엘리프,모험,탐험가,39,61,88,108,140,396,164,159,149,184,171,130,백병 치명타 발생 증가,진귀한 탐험,능숙한 노 젓기,이동 전 기동력 소모 감소,채집의 달인,숙련된 탐험가,시작 전 이동력 증폭,천해 인양 기술자,노련한 탐험가,관찰 채집,,,충파 위력 강화,행동 봉쇄 ,
S,설,모험,상담사,61,85,108,39,139,151,185,369,171,192,149,117,백병 회피 증가,싸움 해소,달콤한 화술,굳건한 마음,향수병 해소,심리 상담,기회 포착,관찰 공부 LV2,채집 우선 전투,꼼꼼한 탐험가,,,추가 기동력 증가,정화: 전투태세 LV2,
S,잔수,모험,위생사,84,38,110,61,139,176,162,380,195,114,151,164,포격 회피 증가,고양이 애호,총포류 구매 할인,시작 시 기동력 회복량 증폭,쥐 해소,빗물 모으기,피격 전 방어력 증폭,천해 인양 전문가,관찰 심화,꼼꼼한 탐험가,,,정화: 전투태세,추가 기동력 증가,
S,루도,모험,생물학자,38,60,108,83,422,130,164,152,126,161,147,187,의술 회복량 증가,채집의 달인,총포류 구매 할인,해적 사냥,해양 생태 연구,맹수 사냥,천해 튼튼한 로프,관찰 공부,채집 우선 전투,성실한 탐험가,,,수리: 전 범위,정화: 전투태세,
S,제바히르,모험,예술학자,59,39,86,104,422,130,187,139,168,137,126,187,백병 방어력 증가,재력 추구,향신료 구매 할인,천해 인양 기술자,낚시꾼,명성 추구,백병 치명타 저항 증폭,심해 인양 보물 사냥꾼,전투적인 채집,성실한 탐험가,,,충파 위력 강화,행동 봉쇄,
S,아세네트,전투,타격대,154,173,114,411,36,57,72,110,174,130,135,183,백병 공격력 증가,백병 공격력 증폭,섬유 구매 할인,방어 무시 백병,백병 명중 증가,백병 방어력 증폭,굳건한 마음,백병 시 추가 백병 LV2,백병 치명타 피해 증폭,백병 피해 무효,,,백병: 방어 무시,정밀 백병: 혼란 유발 LV2,
S,아델리나,교역,방적상,78,104,65,37,158,195,180,117,139,374,162,150,충파 공격력 증가,직물 거래 전문,온화한 협상,탐사의 기본,섬유 거래 전문,직물 구매 할인,기회 포착,직물 판매 할증 LV2,직물 판매 달인,섬유 거래 달인,,,정밀 충파: 혼란 유발,정화: 전투태세 LV2,
S,푸르나마,전투,수리공,180,156,396,124,119,154,159,203,90,89,54,41,수리 극대화 발생 증가,포격 공격력 증폭,조미료 구매 할인,내구도 증가,수리 회복량 증가,기술 봉쇄 포격,굳건한 마음,시작 시 상급 수리,시작 시 최상급 수리,시작 시 이동력 추가 증가,,,기술 봉쇄,수리: 전 범위,
S,수니타,교역,식품상,38,58,108,83,200,173,133,135,417,154,139,145,의술 회복량 증가,식료품 거래 전문,뛰어난 협상,충파 치명타 저항 증폭,조미료 거래 전문,식료품 구매 할인,포격 치명타 피해 저항,식료품 판매 할증,식료품 판매 달인,조미료 거래 달인,,,충파 위력 강화,행동 봉쇄,
S,스틴,전투,함포수,401,154,114,173,73,38,92,66,135,176,174,130,포격 공격력 증가,포격 공격력 증폭,조미료 구매 할인,방어 무시 포격,포격 방어력 증가,포격 방어력 증폭,포격 치명타 피해 저항,포격 시 추가 포격 LV2,포격 치명타 피해 증폭,이동 억제 포격,,,강화 포격: 돛 손상 유발,광역 포격: 싸움 유발 LV2,
S,파트리스,교역,식품상,38,58,108,83,200,173,133,135,417,154,139,145,의술 회복량 증가,식료품 거래 전문,조미료 구매 할인,포격 치명타 피해 저항,조미료 거래 전문,식료품 구매 할인,충파 치명타 저항 증폭,조미료 판매 할증,식료품 판매 달인,조미료 구매 달인,,,행동 봉쇄,충파 위력 강화,
S,랏바우트,교역,식품상,39,59,107,82,200,171,133,137,411,159,137,143,의술 회복량 증가,식료품 거래 전문,조미료 구매 할인,충파 치명타 저항 증폭,조미료 거래 전문,식료품 구매 할인,포격 치명타 피해 저항,조미료 판매 할증,식료품 거래 달인,조미료 거래 달인,,,충파: 키 손상 유발,행동 봉쇄,
S,가스파로 발비,교역,보석상,59,104,86,37,135,151,203,159,185,124,417,131,충파 공격력 증가,보석 거래 전문,신들린 수완,신출귀몰,귀금속 거래 전문,보석 구매 할인,시작 시 상급 의술,보석 판매 할증 LV2,보석 판매 달인,공예품 거래 달인,,,추가 기동력 감소,기술 봉쇄 LV2,
S,갈릴레오 갈릴레이,모험,측량사,39,106,82,56,134,165,403,138,159,170,136,170,방어력 증가,방수 처리,선원 긴급 치료,명성 지향,경계 강화,침수 해소,시작 시 기동력 회복량 증폭,긴축 배급,꼼꼼한 탐험가,전투적인 관찰,,,추가 기동력 감소,추가 기동력 증가,
S,나나미,모험,갑판장,85,59,106,39,148,170,382,127,186,138,165,118,포격 방어력 증가,중재자,포격 피해 반사,능숙한 노 젓기,싸움 해소,관찰 공부,능숙한 돛 조종,명성 추구,투쟁적인 탐험가,생물 채집,,,추가 기동력 증가,포격: 혼란 유발,
S,도쿠가와 이에야스,교역,투자가,104,38,82,58,179,124,157,188,179,134,134,351,포격 방어력 증가,무기류 거래 전문,혼란 백병,무기류 거래 우대,무기류 구매 할인,화물 도난 해소,백병 피해 무시,무기류 판매 할증,다정한 협상,거래의 해결사,,,기술 봉쇄,추가 기동력 증가,
S,라시드 팬드래건,모험,항해장,59,39,110,83,185,154,417,119,130,139,195,166,포격 회피 증가,암초 해소,시작 시 상태이상 제거,능숙한 노 젓기,해초 해소,장애물 탐지,시작 전 이동력 증폭,능숙한 돛 조종 LV2,해적 척결,전투적인 관찰,,,포격: 혼란 유발 LV2,추가 기동력 감소,
S,레오나르도 다빈치,모험,예술학자,56,39,85,101,393,127,174,132,179,138,134,183,백병 방어력 증가,재력 추구,백병 시 추가 고정 피해,능숙한 돛 조종,낚시꾼,명성 추구,시작 전 이동력 증폭,명성 지향,성실한 탐험가,채집 우선 전투,미술품 판매 특별 할증,,충파 위력 강화,추가 기동력 증가,정밀 포격: 혼돈 유발
S,로베르토 에제키엘,전투,유탄수,393,150,108,167,188,108,146,174,37,107,75,62,포격 치명타 발생 증가,포격 치명타 발생 증폭,방어 무시 포격,조미료 판매 할증,포격 치명타 추가 피해,포격 공격력 증가,포격 시 추가 포격,섬유 판매 할증,포격 시 추가 고정 피해 심화,포격 피해 무효,,,포격: 혼란 유발,광역 포격: 싸움 유발,
S,로코 알렘켈,전투,조타장,172,398,102,152,57,85,38,86,175,132,136,174,충파 치명타 추가 피해,충파 방어력 증가,방어 무시 충파,의약품 판매 할증,충파 공격력 증가,충파 공격력 증폭,충파 피해 무시,칭찬과 격려,충파 시 추가 고정 피해 심화,대혼란 충파,,,충파: 방어 무시,정밀 충파: 혼란 유발,
S,류향령,교역,비단상,107,42,90,64,209,181,163,129,230,340,230,431,직물 구매 할인,직물 거래 전문,직물 거래 우대,뛰어난 협상,달콤한 화술,섬유 판매 할증,온화한 협상,직물 판매 할증 LV2,직물 판매 달인,경이로운 수완,,,추가 기동력 감소,정화: 전투태세 LV2,
S,마르티네스,교역,협상가,105,38,86,60,135,151,203,168,183,135,411,121,포격 회피 증가,기호품 거래 전문,귀금속 구매 할인,뛰어난 협상,기호품 구매 할인,향수병 해소,향신료 구매 할인,거래의 승부사 LV2,탁월한 협상,매혹적인 제안,,,정밀 포격: 혼란 유발,공격력 증가 LV2,
S,마리 앙투아네트,교역,미술상,37,100,63,75,201,170,134,130,157,120,403,151,충파 방어력 증가,미술품 거래 전문,기회 포착,염료 판매 할증,미술품 구매 할인,정서불안 해소,내구도 증가,귀금속 판매 할증,미술품 판매 달인,염료 거래 달인,,,충파 위력 강화,기술 봉쇄,
S,마리아 마가레타 키르히,모험,수석 항해사,81,58,103,38,134,144,403,163,132,156,199,134,수리 회복량 증가,육분의 활용,시작 시 기동력 회복량 증폭,능숙한 노 젓기,능숙한 돛 조종,무풍 해소,충파 시 추가 고정 피해,명성 추구,탐험 물자 절약 심화,관측 후 채집,험지 관찰,,백병: 혼란 유발,행동 봉쇄,광역 포격: 내전 유발
S,마히데브란,전투,일반의,122,155,388,179,138,172,178,122,72,66,36,112,백병 방어력 증폭,의술 극대화 회복량 증가,시작 시 상급 의술,의약품 판매 할증,의술 회복량 증폭,의술 극대화 발생 증가,시작 시 기동력 회복량 증폭,털모자 배급,시작 시 최상급 의술,시작 시 이동력 추가 증가,,,의술: 전 범위,정화: 전투태세,
S,뮈에진자데 알리 파샤,전투,수리공,171,149,396,116,126,154,168,192,96,85,58,38,포격 공격력 증폭,수리 극대화 발생 증가,내구도 증가,무기류 판매 할증,기술 봉쇄 포격,수리 회복량 증가,시작 시 상급 수리,수영 금지령,시작 시 최상급 수리,시작 시 이동력 추가 증가,,,수리: 전 범위,기술 봉쇄,
